id,from,to,priority,type,shape,name,spreadType,bidi,distance
-1015063873,9363889922,cluster_9363889925_9945558807,1,highway.service,"3185.35,1590.41 3221.92,1600.73 3229.08,1602.40 3230.14,1602.66",,,,
-1015063876#1,9363889947,cluster_9363889948_9830554075,1,highway.service,"3305.45,1732.61 3305.05,1732.05",,,,
-1015063877#1,9363889955,cluster_29192126_9830554076,1,highway.service,"3354.18,1701.49 3353.70,1700.73",,,,
-1015063879,9363889968,cluster_9363889965_9363889970_9830554084_9830554085,1,highway.service,"3380.20,1699.49 3374.85,1689.82 3374.48,1689.14",,,,
-1015063883#0,9363889978,cluster_9363889980_9363889981_9363889986_9830716400,1,highway.service,"3407.35,1682.66 3402.87,1673.99",,,,
-1015063885,9363889984,cluster_9363889980_9363889981_9363889986_9830716400,1,highway.service,"3388.14,1656.50 3393.92,1667.95 3394.31,1668.94",,,,
-1015063887#1,9363889995,cluster_9363889996_9830716399,1,highway.service,"3438.56,1646.09 3439.10,1647.22",,,,
-1020977670#0,cluster_288070957_8234010065_8234010067_8296993383,cluster_9566521507_9566521508,10,highway.tertiary,"1915.68,1241.89 1917.38,1216.80 1918.87,1208.76 1920.58,1203.06",Luisenstraße,,,
-102131302#1,9926993103,9891315488,1,highway.service,"2046.24,2028.88 2036.34,2022.99 2024.87,2015.65 2023.09,2014.11",,,,
-102131302#2,9926993105,9926993103,1,highway.service,"2075.80,2045.84 2057.15,2035.37 2046.24,2028.88",,,,
-1024034687,cluster_29221570_9443073371_9443073372_9828268520_9828268524,cluster_21487186_3239759268_4558254719_9443073374_9829191562,3,highway.residential,"3896.90,1812.43 3827.83,1569.04",Max-Beer-Straße,,,
-102408133,538591159,1182601207,1,highway.service,"4165.70,750.37 4172.14,739.67 4178.69,730.32 4184.33,721.48 4183.10,713.67 4172.81,697.79 4166.10,695.86 4160.52,695.41 4155.67,695.94 4145.12,700.98 4139.74,703.59 4133.44,704.76 4113.30,704.60",,,,
-102523439#1,9891315493,3858934012,1,highway.service,"2078.91,1958.83 2081.30,1960.55 2131.11,1998.26",,,,
-10270987,262454197,1348731995,1,highway.service,"1791.63,709.05 1827.00,712.04 1877.92,716.34",Pariser Platz,,,
-1031067198#0,cluster_1449083317_1702628665_8110558955_8110783740_8110783742_9503969252,9503969255,1,highway.service,"1801.56,1292.40 1798.24,1291.01 1782.58,1284.50 1782.13,1249.54 1783.24,1242.88 1783.31,1217.96 1783.33,1206.33",,,,
-1040930907#0,9700749457,3148263650,3,highway.residential,"3921.04,878.26 3926.23,872.65 3931.41,872.62 3934.88,868.48",Jüdenstraße,,,
-104288000,1383458991,1203301227,1,highway.service,"2118.08,1825.35 2122.12,1822.07 2127.72,1820.89 2145.55,1824.29 2148.71,1825.72 2168.28,1840.40",,,,
-104991251,1210473819,1210473765,1,highway.service,"2825.30,1584.13 2791.95,1485.44 2787.74,1474.72",,,,
-1051100387#0,cluster_4565322435_4565322436,1615564389,17,railway.tram,"4069.02,1238.78 4064.30,1243.89 4057.90,1250.88",,center,1051100387#0,
-1052675176#1,29123416,cluster_29123420_9796304666,3,highway.residential,"4268.25,2204.63 4267.05,2202.88 4264.18,2198.78 4181.69,2080.54 4117.39,1985.62",Straßburger Straße,,,
-105352753,cluster_29039237_8296993380_8296993381_8296993397,cluster_8853141493_8853141497,10,highway.tertiary,"1747.68,1350.34 1752.90,1351.67 1774.36,1357.63 1797.75,1363.24",Reinhardtstraße,,,
-1056637173,9363889963,cluster_9363889965_9363889970_9830554084_9830554085,1,highway.service,"3376.82,1701.39 3371.62,1691.70 3371.23,1690.96",,,,
-105691147#1,1244082710,cluster_1217161461_9891315457,1,highway.service,"1998.33,1994.99 2001.75,2002.90",,,,
-105742454,1474045672,cluster_1217651538_9974457100,1,highway.service,"3048.25,1263.79 2955.87,1189.37 2939.53,1209.84 2916.36,1192.33 2908.88,1186.72",,,,
-1070046769#0,8844772163,9820934015,1,highway.service,"3467.70,1712.72 3466.86,1715.21 3465.27,1717.32 3463.11,1718.82 3460.58,1719.57 3457.94,1719.49",,,,
-1070046769#1,9820934015,8844772163,1,highway.service,"3457.94,1719.49 3455.46,1718.60 3453.39,1716.98 3451.93,1714.79 3451.23,1712.25 3451.36,1709.62 3452.30,1707.17 3454.16,1704.97 3456.65,1703.53 3459.49,1703.03 3462.33,1703.53 3464.83,1704.96 3466.69,1707.16 3467.69,1709.85 3467.70,1712.72",,,,
-1073949364#0,10041032075,cluster_10041032074_9851063163,1,highway.service,"2153.67,1662.05 2157.89,1663.48 2165.39,1644.10 2164.94,1641.89",,,,
-1073949364#1,cluster_10041032074_9851063163,10041032075,1,highway.service,"2157.71,1642.36 2150.57,1660.86 2153.67,1662.05",,,,
-1074192636,cluster_303436980_8121551052,1203692543,1,highway.service,"2046.82,1733.10 2030.35,1713.09",,,,
-1076057666,29219445,7736988897,1,highway.service,"3981.09,716.79 3966.54,710.84 3966.13,708.76 3968.77,671.29 3970.01,665.91 3972.57,662.30 3977.33,659.03 3989.44,656.75",,,,
-1076059866,cluster_5481132451_6743816375,9868164864,1,highway.service,"2218.84,1512.93 2220.36,1523.53 2220.91,1525.66 2221.68,1527.22 2222.95,1528.29 2224.43,1529.16",,,,
-1076059867,9868164864,cluster_5481132451_6743816375,1,highway.service,"2224.43,1529.16 2222.95,1528.29 2221.68,1527.22 2220.91,1525.66 2220.36,1523.53 2218.84,1512.93",,,,
-1076904632,cluster_26734254_9874893134,9874893135,1,highway.service,"1610.19,1200.79 1581.12,1201.38",,,,
-1079386660,25661323,9824731430,12,highway.primary,"1879.50,519.49 1871.56,517.50 1851.40,512.15 1835.65,509.71 1811.17,507.58",Behrenstraße,,,
-108031933#1,cluster_21487180_2400549239_25662552_3767874518_3767874519_3767874532_3767874533_3767874554_9710833646,4351377008,12,highway.primary,"1961.61,733.63 1960.84,741.37 1951.96,836.06",Wilhelmstraße,,,
-1081366109#0,3342715277,5024380089,1,highway.service,"1821.70,1717.51 1820.31,1739.63 1816.74,1744.23",Hufelandweg,,,
-1081366109#1,3342715212,3342715277,1,highway.service,"1826.39,1656.01 1825.57,1666.55 1821.70,1717.51",Hufelandweg,,,
-1081366110,5622370316,3342715212,1,highway.service,"1824.20,1635.04 1825.05,1643.14 1825.52,1647.60 1826.39,1656.01",Hufelandweg,,,
-1082061956#0,5622370302,5622370316,1,highway.service,"1824.14,1607.86 1823.62,1629.50 1824.20,1635.04",Hufelandweg,,,
-1082071651#0,5024445259,688232202,1,highway.service,"1722.70,1855.44 1712.86,1869.44 1712.07,1879.75",Hufelandweg,,,
-1082339049,9884607099,5576632450,1,highway.service,"1975.17,1772.31 1982.79,1774.33 1995.92,1775.75 2005.49,1773.33",,,,
