id,from,to,priority,type,shape,name,spreadType,bidi,distance
-1015063873,9363889922,cluster_9363889925_9945558807,1,highway.service,"[3229.08, 1602.4]",,,,
-1015063876#1,9363889947,cluster_9363889948_9830554075,1,highway.service,"[3230.14, 1602.66]",,,,
-1015063877#1,9363889955,cluster_29192126_9830554076,1,highway.service,"[3305.45, 1732.61]",,,,
-1015063879,9363889968,cluster_9363889965_9363889970_9830554084_9830554085,1,highway.service,"[3305.05, 1732.05]",,,,
-1015063883#0,9363889978,cluster_9363889980_9363889981_9363889986_9830716400,1,highway.service,"[3354.18, 1701.49]",,,,
-1015063885,9363889984,cluster_9363889980_9363889981_9363889986_9830716400,1,highway.service,"[3380.2, 1699.49]",,,,
-1015063887#1,9363889995,cluster_9363889996_9830716399,1,highway.service,"[3374.85, 1689.82]",,,,
-1020977670#0,cluster_288070957_8234010065_8234010067_8296993383,cluster_9566521507_9566521508,10,highway.tertiary,"[3407.35, 1682.66]",Luisenstraße,,,
-102131302#1,9926993103,9891315488,1,highway.service,"[3388.14, 1656.5]",,,,
-102131302#2,9926993105,9926993103,1,highway.service,"[3393.92, 1667.95]",,,,
-1024034687,cluster_29221570_9443073371_9443073372_9828268520_9828268524,cluster_21487186_3239759268_4558254719_9443073374_9829191562,3,highway.residential,"[3394.31, 1668.94]",Max-Beer-Straße,,,
-102408133,538591159,1182601207,1,highway.service,"[2046.24, 2028.88]",,,,
-102523439#1,9891315493,3858934012,1,highway.service,"[2036.34, 2022.99]",,,,
-10270987,262454197,1348731995,1,highway.service,"[2023.09, 2014.11]",Pariser Platz,,,
-1031067198#0,cluster_1449083317_1702628665_8110558955_8110783740_8110783742_9503969252,9503969255,1,highway.service,"[2046.24, 2028.88]",,,,
-1040930907#0,9700749457,3148263650,3,highway.residential,"[3827.83, 1569.04]",Jüdenstraße,,,
-104288000,1383458991,1203301227,1,highway.service,"[4178.69, 730.32]",,,,
-104991251,1210473819,1210473765,1,highway.service,"[4183.1, 713.67]",,,,
-1051100387#0,cluster_4565322435_4565322436,1615564389,17,railway.tram,"[4172.81, 697.79]",,center,1051100387#0,
-1052675176#1,29123416,cluster_29123420_9796304666,3,highway.residential,"[4155.67, 695.94]",Straßburger Straße,,,
-105352753,cluster_29039237_8296993380_8296993381_8296993397,cluster_8853141493_8853141497,10,highway.tertiary,"[4139.74, 703.59]",Reinhardtstraße,,,
-1056637173,9363889963,cluster_9363889965_9363889970_9830554084_9830554085,1,highway.service,"[4133.44, 704.76]",,,,
-105691147#1,1244082710,cluster_1217161461_9891315457,1,highway.service,"[4113.3, 704.6]",,,,
-105742454,1474045672,cluster_1217651538_9974457100,1,highway.service,"[2131.11, 1998.26]",,,,
-1070046769#0,8844772163,9820934015,1,highway.service,"[1877.92, 716.34]",,,,
-1070046769#1,9820934015,8844772163,1,highway.service,"[1783.33, 1206.33]",,,,
-1073949364#0,10041032075,cluster_10041032074_9851063163,1,highway.service,"[3926.23, 872.65]",,,,
-1073949364#1,cluster_10041032074_9851063163,10041032075,1,highway.service,"[3934.88, 868.48]",,,,
-1074192636,cluster_303436980_8121551052,1203692543,1,highway.service,"[2118.08, 1825.35]",,,,
-1076057666,29219445,7736988897,1,highway.service,"[2148.71, 1825.72]",,,,
-1076059866,cluster_5481132451_6743816375,9868164864,1,highway.service,"[2791.95, 1485.44]",,,,
-1076059867,9868164864,cluster_5481132451_6743816375,1,highway.service,"[4064.3, 1243.89]",,,,
-1076904632,cluster_26734254_9874893134,9874893135,1,highway.service,"[4057.9, 1250.88]",,,,
